Date : 2023-07-09 17:15:06
Directory : c:\Users\Magd\Documents\Flutter Projects\ebuy\lib
Total : 110 files,  1230 codes, 36 comments, 68 blanks, all 1334 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        110 |      1,230 |         36 |         68 |      1,334 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        110 |      1,230 |         36 |         68 |      1,334 |
| . (Files)                                                                                                                         |          2 |         13 |          0 |          0 |         13 |
| Controller                                                                                                                        |         15 |        400 |         -3 |         11 |        408 |
| Controller\Detailes                                                                                                               |          1 |        139 |          0 |          6 |        145 |
| Controller\Home                                                                                                                   |         12 |        252 |         -3 |          6 |        255 |
| Controller\Home (Files)                                                                                                           |          7 |        152 |         -3 |          3 |        152 |
| Controller\Home\SettingsControllers                                                                                               |          5 |        100 |          0 |          3 |        103 |
| Controller\authControllers                                                                                                        |          2 |          9 |          0 |         -1 |          8 |
| core                                                                                                                              |         16 |        554 |         42 |         61 |        657 |
| core\class                                                                                                                        |          4 |        115 |          0 |          3 |        118 |
| core\constant                                                                                                                     |          3 |        230 |         42 |         37 |        309 |
| core\function                                                                                                                     |          5 |        100 |          0 |          5 |        105 |
| core\function (Files)                                                                                                             |          1 |         19 |          0 |          3 |         22 |
| core\function\UiFunctions                                                                                                         |          4 |         81 |          0 |          2 |         83 |
| core\function\UiFunctions (Files)                                                                                                 |          1 |          2 |          0 |          0 |          2 |
| core\function\UiFunctions\Dialogs                                                                                                 |          3 |         79 |          0 |          2 |         81 |
| core\localization                                                                                                                 |          2 |        104 |          0 |         15 |        119 |
| core\middleware                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| core\services                                                                                                                     |          1 |          4 |          0 |          1 |          5 |
| data                                                                                                                              |         10 |        110 |         -1 |         15 |        124 |
| data\dataSource                                                                                                                   |          8 |         53 |         -1 |         11 |         63 |
| data\dataSource\Static                                                                                                            |          2 |        -31 |         -1 |         -1 |        -33 |
| data\dataSource\remote                                                                                                            |          6 |         84 |          0 |         12 |         96 |
| data\dataSource\remote\Detailes                                                                                                   |          2 |         48 |          0 |          7 |         55 |
| data\dataSource\remote\auth                                                                                                       |          1 |         23 |          0 |          3 |         26 |
| data\dataSource\remote\home                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| data\dataSource\remote\settings                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| data\dataSource\remote\shared                                                                                                     |          1 |         11 |          0 |          2 |         13 |
| data\model                                                                                                                        |          2 |         57 |          0 |          4 |         61 |
| data\model\HomePageModels                                                                                                         |          1 |          8 |          0 |          0 |          8 |
| data\model\ProductModels                                                                                                          |          1 |         49 |          0 |          4 |         53 |
| view                                                                                                                              |         67 |        153 |         -2 |        -19 |        132 |
| view\Widgets                                                                                                                      |         46 |         50 |          0 |        -20 |         30 |
| view\Widgets\Detailes                                                                                                             |          8 |         18 |          0 |         -8 |         10 |
| view\Widgets\Home                                                                                                                 |         25 |         72 |          0 |         -6 |         66 |
| view\Widgets\Home\Cart                                                                                                            |         10 |        -12 |          0 |          0 |        -12 |
