"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Detailes\detailesController.dart", "Dart", 429, 0, 35, 464
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Home\CartController.dart", "Dart", 214, 0, 15, 229
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Home\CheckOutController.dart", "Dart", 460, 0, 20, 480
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Home\FilterPageController.dart", "Dart", 184, 0, 15, 199
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Home\HomePageController.dart", "Dart", 244, 0, 14, 258
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Home\MainPageController.dart", "Dart", 121, 0, 8, 129
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Home\SearchController.dart", "Dart", 255, 0, 20, 275
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Home\SettingsControllers\AccountController.dart", "Dart", 281, 0, 19, 300
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Home\SettingsControllers\AddressController.dart", "Dart", 282, 0, 16, 298
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Home\SettingsControllers\GiftCardController.dart", "Dart", 138, 0, 11, 149
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Home\SettingsControllers\OrdersController.dart", "Dart", 129, 1, 6, 136
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Home\SettingsControllers\PaymentController.dart", "Dart", 241, 1, 22, 264
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\Home\favouritePageController.dart", "Dart", 111, 0, 10, 121
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\authControllers\SignInController.dart", "Dart", 221, 7, 20, 248
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\authControllers\SignUpController.dart", "Dart", 280, 9, 29, 318
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\onBoardingController\OnBoardingController.dart", "Dart", 46, 0, 7, 53
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\Controller\products\ProductsController.dart", "Dart", 55, 0, 5, 60
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\binding.dart", "Dart", 8, 0, 2, 10
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\core\class\CRUD.dart", "Dart", 56, 0, 4, 60
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\core\class\HandleSearchState.dart", "Dart", 177, 0, 5, 182
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\core\class\HandlingDataRequest.dart", "Dart", 111, 0, 5, 116
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\core\class\enums.dart", "Dart", 18, 0, 4, 22
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\core\constant\AppWords.dart", "Dart", 706, 91, 76, 873
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\core\constant\ArgumentsNames.dart", "Dart", 18, 2, 1, 21
"c:\Users\Magd\Documents\Flutter Projects\ebuy\lib\core\constant\Colors.dart", "Dart", 19, 0, 2, 21
